iter	RMSE
0	0.9322639599
1	0.9315486469
2	0.9309656052
3	0.9304381976
4	0.929789857
5	0.9294106945
6	0.9290025597
7	0.9286342247
8	0.9282513206
9	0.927778141
10	0.9273984122
11	0.9269253694
12	0.9266049624
13	0.9263688125
14	0.9261532907
15	0.9259267305
16	0.9257276099
17	0.9254896756
18	0.9253195036
19	0.9249940275
20	0.9247140255
21	0.9244268133
22	0.9242409466
23	0.9239984046
24	0.9237811942
25	0.9236087575
26	0.9233274335
27	0.9231826942
28	0.923050918
29	0.9228312937
30	0.9227173925
31	0.9225407901
32	0.9224181626
33	0.9222421092
34	0.9221380978
35	0.9220360029
36	0.9219567574
37	0.9217796557
38	0.921646716
39	0.9215181808
40	0.9213873492
41	0.9212415819
42	0.9209713394
43	0.9208095426
44	0.9206718243
45	0.9205454017
46	0.9204280876
47	0.9203460502
48	0.9202199894
49	0.9201407474
50	0.9200332018
51	0.9199521703
52	0.9198388954
53	0.919777043
54	0.9196813103
55	0.9195863509
56	0.9194856861
57	0.9193581534
58	0.9192232364
59	0.9190651507
60	0.9189958285
61	0.9189101459
62	0.9187469124
63	0.9186205654
64	0.9184913385
65	0.9183631894
66	0.9182764987
67	0.9182302173
68	0.9181499724
69	0.918059729
70	0.9179988074
71	0.9178709564
72	0.9178308235
73	0.917777207
74	0.9177165332
75	0.9176516047
76	0.9175263282
77	0.9174254809
78	0.917295983
79	0.9172001219
80	0.9170905481
81	0.9168651071
82	0.9166560751
83	0.9166198073
84	0.9165203601
85	0.9163742858
86	0.916267666
87	0.9161697387
88	0.9160824898
89	0.9160017863
90	0.9159523946
91	0.9158168778
92	0.9157053277
93	0.9156283554
94	0.9155594847
95	0.9154848182
96	0.915430078
97	0.9153825475
98	0.9152828063
99	0.9151806048
100	0.9150803314
101	0.9150494636
102	0.915017281
103	0.9149261351
104	0.9148022537
105	0.9147556412
106	0.9146367312
107	0.9145512904
108	0.9145331256
109	0.9144265395
110	0.9143838148
111	0.9143461627
112	0.9142933997
113	0.9141710958
114	0.9141330349
115	0.9140788054
116	0.9140303663
117	0.9139758953
118	0.9138507649
119	0.9138016124
120	0.9137114476
121	0.913624419
122	0.9135553019
123	0.9134493075
124	0.9133808984
125	0.9132284168
126	0.91318392
127	0.913111156
128	0.9130775802
129	0.9130033796
130	0.9129159663
131	0.9128741059
132	0.9128158078
133	0.9127239668
134	0.91261448
135	0.9125534327
136	0.9124953704
137	0.9123659258
138	0.9122440634
139	0.912192123
140	0.9121280415
141	0.9120590383
142	0.9119555176
143	0.911881824
144	0.9117887782
145	0.9117091164
146	0.9116811793
147	0.9115598382
148	0.9114458202
149	0.9113723392
150	0.9112798972
151	0.9111474471
152	0.9111070545
153	0.9110332219
154	0.9109287332
155	0.9108636257
156	0.9107763805
157	0.9107368946
158	0.9106603131
159	0.9104876416
160	0.9103731835
161	0.9103469052
162	0.9102536643
163	0.9101423846
164	0.910097636
165	0.9100222267
166	0.9099272554
167	0.9098264082
168	0.9097355177
169	0.9096255447
170	0.9095452958
171	0.9094702049
172	0.909413064
173	0.9093700823
174	0.9093065241
175	0.9091996459
176	0.9091363551
177	0.9089821431
178	0.9089174619
179	0.9088198245
180	0.9087286806
181	0.9086831449
182	0.9085687626
183	0.9084429596
184	0.9083332986
185	0.9082556722
186	0.9081489943
187	0.9080247089
188	0.9079159767
189	0.9077394681
190	0.907628765
191	0.9075044402
192	0.9073843979
193	0.9072967255
194	0.9071872098
195	0.9070954806
196	0.9070304323
197	0.9069107012
198	0.9067854354
199	0.9067164227
200	0.9065920541
201	0.9065052073
202	0.906397175
203	0.9062681307
204	0.9061894066
205	0.9061216537
206	0.9059699897
207	0.9057691557
208	0.9056253586
209	0.9055573133
