iter	Passed	Remaining
0	1	611
1	2	547
2	3	539
3	4	523
4	5	510
5	6	500
6	6	492
7	7	486
8	8	479
9	9	475
10	10	476
11	11	474
12	12	472
13	13	469
14	14	466
15	15	462
16	16	460
17	17	458
18	17	455
19	18	453
20	19	451
21	20	449
22	21	448
23	22	445
24	23	444
25	24	443
26	25	442
27	26	440
28	26	438
29	27	438
30	28	438
31	29	436
32	30	436
33	31	435
34	32	435
35	33	435
36	34	434
37	35	433
38	36	431
39	37	430
40	38	429
41	39	428
42	40	428
43	41	428
44	42	428
45	43	428
46	44	428
47	45	427
48	46	427
49	47	427
50	48	426
51	49	425
52	50	425
53	51	424
54	52	423
55	53	423
56	54	422
57	55	421
58	56	420
59	57	419
60	58	418
61	59	417
62	60	416
63	61	416
64	62	415
65	63	414
66	64	414
67	65	413
68	66	413
69	67	412
70	68	411
71	69	410
72	70	410
73	71	409
74	72	408
75	73	407
76	74	407
77	75	406
78	76	405
79	77	404
80	78	403
81	79	403
82	80	402
83	81	401
84	82	400
85	83	399
86	84	398
87	84	397
88	86	397
89	86	396
90	87	395
91	88	394
92	89	393
93	90	392
94	91	391
95	92	390
96	93	389
97	94	388
98	95	387
99	96	386
100	97	386
101	98	385
102	99	384
103	100	383
104	101	382
105	102	381
106	103	380
107	104	379
108	105	378
109	106	377
110	107	377
111	108	376
112	109	375
113	110	374
114	111	373
115	112	372
116	113	371
117	114	370
118	115	370
119	116	369
120	117	368
121	118	367
122	119	366
123	120	365
124	121	364
125	122	364
126	123	363
127	124	362
128	125	361
129	126	360
130	127	359
131	128	358
132	129	357
133	130	356
134	131	355
135	132	354
136	133	353
137	134	352
138	135	351
139	136	350
140	137	349
141	138	348
142	139	347
143	140	347
144	141	346
145	142	345
146	143	344
147	144	343
148	145	342
149	146	341
150	147	340
151	148	339
152	149	338
153	150	337
154	151	336
155	152	336
156	153	335
157	154	334
158	155	333
159	156	332
160	157	331
161	158	330
162	159	329
163	160	328
164	161	327
165	162	326
166	163	325
167	164	324
168	165	323
169	166	322
170	167	321
171	168	320
172	169	319
173	170	318
174	171	317
175	172	317
176	173	316
177	174	315
178	175	314
179	176	313
180	177	312
181	178	311
182	179	310
183	180	309
184	181	308
185	182	307
186	183	306
187	184	305
188	185	304
189	186	303
190	187	302
191	188	301
192	189	300
193	190	300
194	191	299
195	192	298
196	193	297
197	194	296
198	195	295
199	196	294
200	197	293
201	198	292
202	199	291
203	199	290
204	200	289
205	201	288
206	203	287
207	204	286
208	205	285
209	205	284
210	206	283
211	208	282
212	208	281
213	209	280
214	210	279
215	212	278
216	213	277
217	214	276
218	214	275
219	215	274
220	216	273
221	217	272
222	218	271
223	219	270
224	220	269
225	221	268
226	222	267
227	223	266
228	224	265
229	225	264
230	226	263
231	227	262
232	228	261
233	229	261
234	230	260
235	231	259
236	232	258
237	233	257
238	234	256
239	235	255
240	236	254
241	237	253
242	238	252
243	239	251
244	240	250
245	241	249
246	242	248
247	243	247
248	244	246
249	245	245
250	246	244
251	247	243
252	247	242
253	248	241
254	249	240
255	250	239
256	251	238
257	252	237
258	253	236
259	254	235
260	255	234
261	256	233
262	257	232
263	258	231
264	259	230
265	260	229
266	261	228
267	262	227
268	263	226
269	264	225
270	265	224
271	266	223
272	267	222
273	268	221
274	269	220
275	270	219
276	271	218
277	272	217
278	273	216
279	274	215
280	275	214
281	276	213
282	277	212
283	278	211
284	279	210
285	280	209
286	281	208
287	282	207
288	283	206
289	284	206
290	285	205
291	286	204
292	287	203
293	288	202
294	289	201
295	290	200
296	291	199
297	292	198
298	293	197
299	294	196
300	295	195
301	296	194
302	297	193
303	298	192
304	299	191
305	300	190
306	301	189
307	302	188
308	303	187
309	304	186
310	305	185
311	306	184
312	307	183
313	308	182
314	309	181
315	310	180
316	311	179
317	312	178
318	313	177
319	314	176
320	315	175
321	316	174
322	317	173
323	318	172
324	319	171
325	320	170
326	321	169
327	322	168
328	323	168
